validacc,validauc,_timestamp,best_epoch,model_save_path,_step,_wandb,_runtime,fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,create_time
0.9543647537926816,0.987174247417934,1686135711.2607422,98.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_256_1e-05_1_1_9b1ee417-56e2-46e5-82eb-85882e51e245/qid_model.ckpt,0.0,{'runtime': 5674},5675.216434240341,4,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,leafy-sweep-48,y4sfguys,finished,1686135711.2607422
0.9549353342184168,0.9875777756210414,1686129979.5637286,102.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_256_1e-05_1_1_274178c8-f008-48ba-b68c-1a3ddb5d9c12/qid_model.ckpt,0.0,{'runtime': 5788},5788.984555482864,4,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,generous-sweep-47,qzdgbx5o,finished,1686129979.5637286
0.9607045363008488,0.99099471689845,1686124172.8685963,23.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_256_0.0001_1_1_cf985274-874b-4232-8c62-018841c7bfbd/qid_model.ckpt,0.0,{'runtime': 1657},1658.0624043941498,4,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,cool-sweep-46,96q1wfrd,finished,1686124172.8685963
0.959981055238152,0.9906076417781472,1686122478.7311666,20.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_256_0.0001_1_1_9d63bc5d-669c-453a-bbd8-21875e12d7c0/qid_model.ckpt,0.0,{'runtime': 1521},1522.1470115184784,4,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,solar-sweep-45,sq7126th,finished,1686122478.7311666
0.9627817473932306,0.9919942857273116,1686120939.0427165,9.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_256_0.001_1_1_e7609e8c-0e4e-4c8e-b2fb-4961a26d950a/qid_model.ckpt,0.0,{'runtime': 955},956.289234161377,4,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,mild-sweep-44,t7vpazk2,finished,1686120939.0427165
0.9623528797529722,0.991957594404842,1686119963.282488,8.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_256_0.001_1_1_09677cd2-b319-4339-af93-cfbc0a2aab52/qid_model.ckpt,0.0,{'runtime': 903},903.6983940601348,4,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,devout-sweep-43,xdje74yq,finished,1686119963.282488
0.8617852827542999,0.9136056488206468,1686119042.673277,48.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_64_1e-05_1_1_8b90b4a8-f94a-4b50-8df1-5ee2582b7529/qid_model.ckpt,0.0,{'runtime': 467},468.3549497127533,4,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,earnest-sweep-42,0pcsimp7,finished,1686119042.673277
0.8610245088533198,0.9197202895548462,1686118541.2020493,50.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_64_1e-05_1_1_38842e94-16b6-4190-9dd7-58a914bbd23a/qid_model.ckpt,0.0,{'runtime': 491},491.6697483062744,4,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,cosmic-sweep-41,ylav232i,finished,1686118541.2020493
0.9579970762414786,0.989095538158922,1686118034.9196942,70.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_64_0.0001_1_1_b5151f31-ba87-4731-8558-cf5f3af041bc/qid_model.ckpt,0.0,{'runtime': 632},633.3861231803894,4,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,wise-sweep-40,e3jt9snp,finished,1686118034.9196942
0.9574898936408252,0.9894369806825009,1686117385.5927148,72.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_64_0.0001_1_1_72de1ecf-292a-4b5e-aefb-480d472a7d7c/qid_model.ckpt,0.0,{'runtime': 660},660.8504889011383,4,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,vibrant-sweep-39,ryl9b5a8,finished,1686117385.5927148
