model_save_path,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,create_time
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_256_1e-05_1_1_282c4e59-a2f3-4ff9-a94e-72a885e53ce8/qid_model.ckpt,0,{'runtime': 322},323.41343688964844,0.9556327102943152,0.987698397639783,1689592994.4086168,103,4,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,bumbling-sweep-48,kdlb4app,finished,1689592994.4086168
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_256_1e-05_1_1_f7c95464-1e1c-44e9-b28f-6eecf371ef2a/qid_model.ckpt,0,{'runtime': 315},316.4222903251648,0.9548234557035666,0.987491694799872,1689592654.0632622,101,4,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,vocal-sweep-47,hjyn9j78,finished,1689592654.0632622
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_256_0.0001_1_1_c2059860-9cd2-454c-94c9-b9f9a1f65f9c/qid_model.ckpt,0,{'runtime': 100},100.81596779823305,0.9606597848949088,0.9909899306087646,1689592322.393854,23,4,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,curious-sweep-46,rvn1b45v,finished,1689592322.393854
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_256_0.0001_1_1_8d9523d5-a9fc-4a11-869e-2fdedaca5745/qid_model.ckpt,0,{'runtime': 91},92.9249472618103,0.960003430941122,0.9906100620404956,1689592205.185599,20,4,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,dark-sweep-45,dy8x73co,finished,1689592205.185599
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_256_0.001_1_1_10f37fcc-c1ca-4aaf-b71e-0a3e2d6429c7/qid_model.ckpt,0,{'runtime': 61},61.77214026451111,0.962751913122604,0.9919622849152568,1689592095.5788112,9,4,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,stellar-sweep-44,swfb24nv,finished,1689592095.5788112
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_256_0.001_1_1_c9b54f39-cc05-4db7-850b-7da5a507302b/qid_model.ckpt,0,{'runtime': 57},58.341827392578125,0.9624311947133672,0.9919633641480948,1689592008.3031614,8,4,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,scarlet-sweep-43,fb9a2bgb,finished,1689592008.3031614
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_64_1e-05_1_1_80f65fee-113a-475e-aaa2-fd5882f7218d/qid_model.ckpt,0,{'runtime': 127},128.15748810768127,0.8617181556453899,0.913559834323125,1689591932.589208,48,4,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,proud-sweep-42,gqpukavg,finished,1689591932.589208
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_64_1e-05_1_1_05e8a5ec-c9df-49ab-a386-fc0c6771c145/qid_model.ckpt,0,{'runtime': 133},134.63026213645935,0.8608641496487015,0.919740868409542,1689591787.2811222,50,4,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,silvery-sweep-41,8gl5lbf2,finished,1689591787.2811222
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_64_0.0001_1_1_a66033f5-e98f-4e6d-92ad-69c70a97c418/qid_model.ckpt,0,{'runtime': 175},176.66485142707825,0.9580492862150752,0.989193302654307,1689591636.4504974,71,4,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,deft-sweep-40,535cr0zb,finished,1689591636.4504974
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_64_0.0001_1_1_63e9305a-9685-4c76-8c57-ef0e1fab41f7/qid_model.ckpt,0,{'runtime': 161},161.85381031036377,0.9570162745946268,0.9886491842504278,1689591444.7908354,64,4,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,spring-sweep-39,g13rql6c,finished,1689591444.7908354
