validauc,_timestamp,best_epoch,model_save_path,_step,_wandb,_runtime,validacc,fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,create_time
0.8482142857142857,1686077752.473205,6.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_256_1e-05_1_1_373eae90-e55e-49af-bc73-bbc3aae1aa18/qid_model.ckpt,0.0,{'runtime': 867},868.3723530769348,0.8260869565217391,0,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,light-sweep-48,2yhklv9o,finished,1686077752.473205
0.8125,1686076871.0582592,8.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_256_1e-05_1_1_d3b19601-1c50-42cc-9d22-0fabbc85ed2a/qid_model.ckpt,0.0,{'runtime': 968},968.721598148346,0.8695652173913043,0,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,iconic-sweep-47,b99uwpct,finished,1686076871.0582592
0.9732142857142856,1686075889.3268602,12.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_256_0.0001_1_1_4f3ca9a3-c2bc-474a-b502-6c5a7fe497f1/qid_model.ckpt,0.0,{'runtime': 1181},1182.3523461818695,0.9130434782608696,0,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,sparkling-sweep-46,odpkp47d,finished,1686075889.3268602
0.9732142857142856,1686074672.7574592,11.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_256_0.0001_1_1_55cc7720-9166-4da9-8296-6c97d55e369f/qid_model.ckpt,0.0,{'runtime': 1135},1135.656084060669,0.9130434782608696,0,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,prime-sweep-45,dwt4yx4c,finished,1686074672.7574592
0.9732142857142856,1686073518.7500997,2.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_256_0.001_1_1_75f6a21b-2189-4496-bdbd-d80e7e99b062/qid_model.ckpt,0.0,{'runtime': 646},647.2438995838165,0.9130434782608696,0,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,noble-sweep-44,j4aqv7mz,finished,1686073518.7500997
0.9642857142857144,1686072857.888607,1.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_256_0.001_1_1_0aa94367-e1ee-42e4-ba75-665c9896351f/qid_model.ckpt,0.0,{'runtime': 594},595.4868409633636,0.9130434782608696,0,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,serene-sweep-43,bq1mg9td,finished,1686072857.888607
0.7410714285714286,1686072248.2250512,17.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_64_1e-05_1_1_1a484273-3e9d-4471-9b6d-9c3d0b268ef2/qid_model.ckpt,0.0,{'runtime': 176},177.20719623565674,0.7391304347826086,0,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,olive-sweep-42,i7a4u3of,finished,1686072248.2250512
0.7946428571428572,1686072059.5939815,33.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_64_1e-05_1_1_7d496e30-b7f3-446d-912a-4e5d02b1b334/qid_model.ckpt,0.0,{'runtime': 282},282.91659784317017,0.6521739130434783,0,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,happy-sweep-41,ar5145vr,finished,1686072059.5939815
0.9375,1686071761.966048,27.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_0_0.5_64_0.0001_1_1_310cf5c5-85c5-4489-a4ee-cb9557867d6a/qid_model.ckpt,0.0,{'runtime': 243},244.3960280418396,0.9130434782608696,0,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,hopeful-sweep-40,p9abouqn,finished,1686071761.966048
0.9375,1686071507.1955073,26.0,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_0_0.5_64_0.0001_1_1_74b2acea-ce3f-45a0-ac18-ee5b16db9cd4/qid_model.ckpt,0.0,{'runtime': 236},236.82889223098755,0.9130434782608696,0,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,dark-sweep-39,au2eshx7,finished,1686071507.1955073
