d_ff,fold,seed,d_model,dropout,emb_type,n_blocks,save_dir,model_name,dataset_name,learning_rate,num_attn_heads,name,path_id,state,_timestamp,best_epoch,model_save_path,_step,_wandb,_runtime,validacc,validauc,create_time
256,4,42,256,0.05,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,gentle-sweep-30,6pwnq7zt,running,,,,,,,,,
256,4,3407,256,0.3,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,wild-sweep-29,4wj7e9lx,finished,1689601227.8609667,8.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.3_256_256_8_1_0.001_1_1_4dae400a-13de-4aad-a75e-47a2f1828bce/qid_model.ckpt,0.0,{'runtime': 174},174.88621759414673,0.9603875471754404,0.9917926976600756,1689601227.8609667
256,4,42,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,woven-sweep-28,28p55hib,finished,1689601038.8974152,11.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_4_0.05_256_256_4_2_0.001_1_1_2131980d-9ea5-4dab-9f8c-97bfe73fb168/qid_model.ckpt,0.0,{'runtime': 282},283.5753290653229,0.9640012232050956,0.992302251679818,1689601038.8974152
256,4,3407,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,cosmic-sweep-27,ua6uk8u3,finished,1689600739.4467936,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_1_0.001_1_1_bb6ba45f-155d-4018-bef0-803d6b868611/qid_model.ckpt,0.0,{'runtime': 155},156.16644549369812,0.9626997031490072,0.9919419660613722,1689600739.4467936
256,4,3407,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,misty-sweep-26,f57dzyis,finished,1689600565.7434697,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_1_0.001_1_1_143fdf43-4f60-4c13-b918-821959c248a5/qid_model.ckpt,0.0,{'runtime': 155},156.36008644104004,0.9626997031490072,0.9919419660613722,1689600565.7434697
256,4,3407,256,0.3,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,tough-sweep-25,l9ymwohk,finished,1689600392.7986374,7.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.3_256_256_8_2_0.001_1_1_069b7fe9-cfbc-4875-99f3-12ec21e25288/qid_model.ckpt,0.0,{'runtime': 276},277.0681393146515,0.9614466637826872,0.992043579406833,1689600392.7986374
256,4,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,silvery-sweep-24,ja9rilkx,finished,1689600096.9321914,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_2_0.001_1_1_94c0bce1-312c-4228-9f30-b0fa22296600/qid_model.ckpt,0.0,{'runtime': 245},246.15601539611816,0.9625393439443888,0.992210010296064,1689600096.9321914
256,4,3407,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,jumping-sweep-23,e3yj5atk,finished,1689599836.8216918,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_1_0.001_1_1_c4c78e6c-3ba2-4db1-9cd8-fe31318113c2/qid_model.ckpt,0.0,{'runtime': 155},156.59182977676392,0.9626997031490072,0.9919419660613722,1689599836.8216918
256,4,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,royal-sweep-22,17ymmemv,finished,1689599666.0226085,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_2_0.001_1_1_856a4389-1fd1-40e3-9abb-aac9ed4019df/qid_model.ckpt,0.0,{'runtime': 245},246.06350231170657,0.9625393439443888,0.992210010296064,1689599666.0226085
256,4,42,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,efficient-sweep-21,gjt1li8d,finished,1689599378.0144808,11.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_4_0.05_256_256_4_2_0.001_1_1_b975e684-3562-493d-80ba-8d3dbb67857c/qid_model.ckpt,0.0,{'runtime': 282},283.4769837856293,0.9640012232050956,0.992302251679818,1689599378.0144808
256,4,3407,256,0.05,qid,1,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,absurd-sweep-20,naya7a4y,finished,1689599077.9541416,6.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_1_0.001_1_1_6444ca6a-ef25-49d7-819b-6c94ede83abb/qid_model.ckpt,0.0,{'runtime': 156},157.2386815547943,0.9626997031490072,0.9919419660613722,1689599077.9541416
256,4,42,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,royal-sweep-19,xu4kqpfx,finished,1689598907.7840035,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_4_0.1_256_256_8_2_0.001_1_1_c2ab6281-7a98-49ef-8979-5779672fa1de/qid_model.ckpt,0.0,{'runtime': 197},197.8536307811737,0.9604658621358354,0.9913138070146,1689598907.7840035
256,4,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,1e-05,8,sweet-sweep-18,20c6236b,finished,1689598689.360468,24.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_2_1e-05_1_1_084a225e-e865-4921-b483-643a9cba0e07/qid_model.ckpt,0.0,{'runtime': 551},551.8314301967621,0.9613758073899488,0.9911862358905222,1689598689.360468
